review_id,review_text,price,packaging,product,aroma
708,tabir surya termahal yang pernah gue beli ini kayanya. tapi worth it sih dan pasti akan beli lagi. sukanya sama suncreen ini: - spf tinggi - jangan meninggalkan gips putih. menyatu sempurna ke kulit - nggak membuat muka berminyak - very light - tidak menyumbat pori-pori produk ini berhasil membuat gue jadi mau pakai sunscreen :),-1,0,1,0
838,"ini enak banget dipakainya, enteng banget diwajah, enggak lengket juga, nyerapnya cepat banget. ga bikin muka makin berminyak, ini bisa tahan sekitar 8 jam kurang lebihnya, ya. ini bisa dipakai sebagai riasan dasar, juga, lho.",0,0,1,0
1166,"uraiannya cukup tepat. produk ini emang cocok banget dipakai pas cuaca lagi panas-panasnya karena lotionnya agak dingin pas dipakai dan karena aroma verbena yang citrusy dan segar! dibanding lotion l'occitane lain, teksturnya sedikit lebih kaya tapi cepat menyerap dan lebih melembabkan. verbena sendiri memiliki aroma yang cukup menyegarkan yang cocok untuk wanita dan pria.",0,0,1,1
1374,"bisa untuk wajah dan badan dengan harga yang sangat terjangkau! dipakai di wajah tidak akan oksidasi dan meninggalkan warna terlalu putih. dipakai di badan pun dingin dan tidak lengket sama sekali. teksturnya seperti gel tapi lebih cair, mudah sekali aplikasi di badan. biasanya selalu saya pakai di area leher dan tangan. packagingnya oke, bentuknya botol, tapi harus dipencet untuk dikeluarkannya, mudah dikontrol jadinya.",1,1,1,0
1421,"saya beli produk ini karena suka banget wanginya. biasanya saya jarang suka produk body lotion yang terlalu mewah karena kayaknya jarang yang bener-bener melembabkan dan nggak cuma menang wangi aja. tapi anehnya saya cukup senang dengan yang satu ini, teksturnya lumayan kaya dan berasa lembabnya. tapi karena harganya cukup mahal, saya masih mikir-mikir nih apakah akan beli lagi atau nggak;)",-1,0,0,1
1526,"kemasannya oke, seperti lotion citra pada umumnya. yang ini kan lagi versi unik yang aku susah mendefinisikannya. tutupnya flip top. warna botolnya putih. ada gambar alpukat dan biji almond. tekstur kentalnya pas. cepat meresap ke kulit. warnanya putih. dan wanginya hampir enak mirip kaya citra jaman dulu. yang warnanya kombinasi putih kuning dan botol jumbo. aku pernah baca di blognya siapa gitu aku lupa, ada yang kangen sama wangi ini. selamat kangen-kangenan deh. :) cuma nggak mirip banget kok, ada sensasi segar barunya. pokoknya aku cinta sama wangi ini. nggak lebay! hasil? kulitku lembabnya tahan lama! tapi aku nggak sedang aktifitas di luar loh ya! tapi kulitku jadi sehat dan memang cerah. beberapa hari lalu aku ke pantai bande alit. untung banget aku pakai ini dan bawa juga di tas. gilak panasnya nggak difilter! tapi lotion ini cukup keren ngelindungi kulitku. tetap gelap, tapi nggak parah banget. dan nggak bikin aku setress abis ke pantai. ^^ malah stres mikirin pasir yang masuk ke pori-pori celana nggak bisa keluar. aaarghh!",0,1,1,1
1874,"ini andalanku klo mau keluar2 rumah, teksturnya ringan, ngga lengket, cepat menyerap, dan yg psti perlindungan dr matahari baguuss .. tp emg cpt bkin berminyak wajahnya hehe .. tp klo ud pkai skinaqua rasany tenang krna wajah bebas sunburn hihi",0,0,1,0
2242,"pertama kali pake ini, di kulit enak banget..udah gitu dia ga se-oily sunblock lainnya ... cocok buat dipake sebelum bedak buat sehari2..harganya emg rada mahal tp buat gue awet sampe 6 bulanan jd worth it bgt ..",-1,0,1,0
2468,"ini mungkin adalah layar cawan suci saya. spf tinggi dan teksturnya watery tapi lembab. cocok untuk kulitku yang cenderung kering. setelah bersihin wajah, terus pake serum dan moisturizer, aku pakai skin aqua uv sunscreen. aku biarkan dulu 1-2 menit terus baru pakai bb cream + pact setelah itu. hasil make up jadi dewy dan tahan lama. harganya sangat terjangkau apalagi kalau lagi sale. pasti membeli kembali kalau pengawasan.",1,0,1,0
3308,"tabir surya berwarna yang worth it banget buat aku, cocok sama warnanya, teskturnya ringan banget jadi gampang diratain ga perlu kuatir cemong-cemong, oil control nya hebat, dan yang pasti dengan spf 30 dan pa ++ harga dibawah 40.000 idr untuk 30 ml itu jadi murah dan keren abis. udah lebih dari 4 tahun ini, orang-orang bilang pakai muka jadi lebih putih.",1,0,1,0
